"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2313","testBalancesLoading[Joystream]","","Wed Apr 30 08:49:43 GMT 2025","passed","Wed Apr 30 08:49:46 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Joystream]"
"","349","testFeeLoading[Polymesh Mainnet]","","Wed Apr 30 08:49:05 GMT 2025","passed","Wed Apr 30 08:49:05 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Polymesh Mainnet]"
"","485","testFeeLoading[Kreivo]","","Wed Apr 30 08:55:45 GMT 2025","passed","Wed Apr 30 08:55:45 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Kreivo]"
"","13507","testBalancesLoading[Crust Shadow]","","Wed Apr 30 08:44:54 GMT 2025","passed","Wed Apr 30 08:45:08 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Crust Shadow]"
"","2233","testBalancesLoading[Statemint]","","Wed Apr 30 08:48:51 GMT 2025","passed","Wed Apr 30 08:48:53 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Statemint]"
"","1884","testBalancesLoading[Acala]","","Wed Apr 30 08:41:14 GMT 2025","passed","Wed Apr 30 08:41:16 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Acala]"
"","1215","testFeeLoading[Joystream]","","Wed Apr 30 08:49:46 GMT 2025","passed","Wed Apr 30 08:49:47 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Joystream]"
"","723","testFeeLoading[Bifrost Polkadot]","","Wed Apr 30 08:45:39 GMT 2025","passed","Wed Apr 30 08:45:40 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Bifrost Polkadot]"
"","1252","testBalancesLoading[Enjin Matrixchain]","","Wed Apr 30 08:49:40 GMT 2025","passed","Wed Apr 30 08:49:41 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Enjin Matrixchain]"
"","2339","testBalancesLoading[Moonbase Relay Testnet]","","Wed Apr 30 08:45:50 GMT 2025","passed","Wed Apr 30 08:45:52 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Moonbase Relay Testnet]"
"","1160","testFeeLoading[DENTNet]","","Wed Apr 30 08:56:04 GMT 2025","passed","Wed Apr 30 08:56:05 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[DENTNet]"
"","1586","testBalancesLoading[KILT Spiritnet]","","Wed Apr 30 08:41:12 GMT 2025","passed","Wed Apr 30 08:41:14 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[KILT Spiritnet]"
"","2105","testBalancesLoading[Parallel]","","Wed Apr 30 08:44:28 GMT 2025","passed","Wed Apr 30 08:44:30 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Parallel]"
"","743","testFeeLoading[Aleph Zero]","","Wed Apr 30 08:45:26 GMT 2025","passed","Wed Apr 30 08:45:26 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Aleph Zero]"
"","1085","testFeeLoading[Polkadot Coretime]","","Wed Apr 30 08:56:34 GMT 2025","passed","Wed Apr 30 08:56:35 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Polkadot Coretime]"
"","924","testBalancesLoading[Aleph Zero]","","Wed Apr 30 08:45:25 GMT 2025","passed","Wed Apr 30 08:45:26 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Aleph Zero]"
"","1321","testFeeLoading[Ternoa]","","Wed Apr 30 08:48:59 GMT 2025","passed","Wed Apr 30 08:49:00 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Ternoa]"
"","89894","testFeeLoading[Bit. Country]","","Wed Apr 30 08:42:51 GMT 2025","broken","Wed Apr 30 08:44:21 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Bit. Country]"
